"seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr8",111642548,111643488,941,"*","Distal Intergenic",8,110979233,110988076,8844,2,"27012","uc010mcw.3",-654472,"ENSG00000164794","KCNV1","potassium voltage-gated channel modifier subfamily V member 1"
"chr8",114483517,114484018,502,"*","Distal Intergenic",8,114321447,114449242,127796,2,"114788","uc003ynx.4",-34275,"ENSG00000164796","CSMD3","CUB and Sushi multiple domains 3"
"chr8",115576188,115576984,797,"*","Distal Intergenic",8,116420724,116680234,259511,2,"7227","uc011lhy.2",1103250,"ENSG00000104447","TRPS1","transcriptional repressor GATA binding 1"
"chr8",125595899,125596673,775,"*","Intron (uc003yrj.2/9788, intron 6 of 13)",8,125563028,125581062,18035,2,"9788","uc003yri.2",-14837,"ENSG00000170873","MTSS1","MTSS I-BAR domain containing 1"
"chr8",133537508,133538203,696,"*","Distal Intergenic",8,133572745,133573726,982,2,"93668","uc011liz.1",35523,"ENSG00000253521","HPYR1","Helicobacter pylori responsive 1"
"chr8",139645494,139645995,502,"*","Intron (uc011ljo.2/169044, intron 31 of 46)",8,139600478,139772530,172053,2,"169044","uc011ljo.2",126535,"ENSG00000169436","COL22A1","collagen type XXII alpha 1 chain"
"chr8",141156859,141157710,852,"*","Intron (uc003yvj.2/83696, intron 17 of 22)",8,140922391,141301350,378960,2,"83696","uc010mel.1",143640,"ENSG00000167632","TRAPPC9","trafficking protein particle complex subunit 9"
"chr8",141227694,141228336,643,"*","Intron (uc003yvj.2/83696, intron 17 of 22)",8,140922391,141301350,378960,2,"83696","uc010mel.1",73014,"ENSG00000167632","TRAPPC9","trafficking protein particle complex subunit 9"
"chr8",142443151,142443652,502,"*","Distal Intergenic",8,142432007,142441620,9614,1,"11156","uc010met.1",11144,"ENSG00000184489","PTP4A3","protein tyrosine phosphatase 4A3"
"chr8",142990611,142991335,725,"*","Distal Intergenic",8,143257700,143257779,80,1,"100616268","uc022bbz.1",-266365,"ENSG00000265247","MIR4472-1","microRNA 4472-1"
"chr9",17578582,17579946,1365,"*","Promoter (<=1kb)",9,17578953,17797122,218170,1,"6456","uc003zna.3",0,"ENSG00000107295","SH3GL2","SH3 domain containing GRB2 like 2, endophilin A1"
"chr9",29290374,29291112,739,"*","Distal Intergenic",9,27948084,29212998,1264915,2,"158038","uc003zqu.2",-77376,"ENSG00000174482","LINGO2","leucine rich repeat and Ig domain containing 2"
"chr9",31573826,31574558,733,"*","Distal Intergenic",9,32384601,32436395,51795,1,"48","uc010mjh.1",-810043,"ENSG00000122729","ACO1","aconitase 1"
"chr9",31981011,31982012,1002,"*","Distal Intergenic",9,32384601,32436395,51795,1,"48","uc010mjh.1",-402589,"ENSG00000122729","ACO1","aconitase 1"
"chr9",37812500,37813333,834,"*","Intron (uc010mlz.3/79269, intron 1 of 6)",9,37800790,37867665,66876,1,"79269","uc004aao.3",11710,"ENSG00000122741","DCAF10","DDB1 and CUL4 associated factor 10"
"chr9",38074380,38075047,668,"*","Distal Intergenic",9,37915895,38069210,153316,2,"6461","uc004aax.3",-5170,"ENSG00000107338","SHB","SH2 domain containing adaptor protein B"
"chr9",38672226,38672992,767,"*","Distal Intergenic",9,38621085,38623277,2193,1,"158228","uc004abh.4",51141,NA,"FAM201A","family with sequence similarity 201 member A"
"chr9",70470253,70470754,502,"*","Intron (uc004afz.4/445571, intron 5 of 14)",9,70432000,70477644,45645,2,"445571","uc004afz.4",6890,"ENSG00000196873","ZNG1C","Zn regulated GTPase metalloprotein activator 1C"
"chr9",72165903,72166736,834,"*","Intron (uc004ahh.2/320, intron 1 of 12)",9,72042449,72287275,244827,2,"320","uc004ahh.2",120539,"ENSG00000107282","APBA1","amyloid beta precursor protein binding family A member 1"
"chr9",74557394,74558595,1202,"*","Intron (uc004ain.3/138241, intron 1 of 3)",9,74526423,74599390,72968,1,"138241","uc010mov.2",30971,"ENSG00000155621","C9orf85","chromosome 9 open reading frame 85"
"chr9",86106723,86107431,709,"*","Intron (uc004amr.1/257019, intron 1 of 14)",9,85859539,86082657,223119,2,"257019","uc022bja.1",-24066,"ENSG00000172159","FRMD3","FERM domain containing 3"
"chr9",86202093,86202806,714,"*","Distal Intergenic",9,86237964,86259045,21082,1,"414328","uc004amt.2",-35158,"ENSG00000148057","IDNK","IDNK gluconokinase"
"chr9",89988973,89989599,627,"*","Distal Intergenic",9,90112658,90323549,210892,1,"1612","uc004apc.3",-123059,"ENSG00000196730","DAPK1","death associated protein kinase 1"
"chr9",90078940,90079655,716,"*","Distal Intergenic",9,90112658,90323549,210892,1,"1612","uc004apc.3",-33003,"ENSG00000196730","DAPK1","death associated protein kinase 1"
"chr9",91156705,91157408,704,"*","Intron (uc011ltj.2/158046, intron 1 of 1)",9,91150016,91190704,40689,1,"158046","uc004aqa.3",6689,"ENSG00000130045","NXNL2","nucleoredoxin like 2"
"chr9",91714253,91714862,610,"*","Intron (uc004aqf.2/53358, intron 2 of 11)",9,91620686,91793682,172997,2,"53358","uc004aqf.2",78820,"ENSG00000148082","SHC3","SHC adaptor protein 3"
"chr9",92141031,92141532,502,"*","Distal Intergenic",9,91992152,92112888,120737,2,"10507","uc004aqp.1",-28143,"ENSG00000187764","SEMA4D","semaphorin 4D"
"chr9",94250280,94251158,879,"*","Distal Intergenic",9,94171327,94186144,14818,2,"4783","uc004arh.3",-64136,"ENSG00000165030","NFIL3","nuclear factor, interleukin 3 regulated"
"chr9",96435941,96436945,1005,"*","Exon (uc004aub.3/5253, exon 18 of 22)",9,96425189,96441866,16678,1,"5253","uc004auc.3",10752,"ENSG00000197724","PHF2","PHD finger protein 2"
"chr9",99018572,99019309,738,"*","Intron (uc004awa.1/3293, intron 2 of 10)",9,98997589,99064434,66846,2,"3293","uc004awa.1",45125,"ENSG00000130948","HSD17B3","hydroxysteroid 17-beta dehydrogenase 3"
"chr9",108579813,108580501,689,"*","Distal Intergenic",9,108456806,108538892,82087,1,"55151","uc010mtn.2",123007,"ENSG00000095209","TMEM38B","transmembrane protein 38B"
"chr9",108813840,108814449,610,"*","Distal Intergenic",9,108456806,108538892,82087,1,"55151","uc010mtn.2",357034,"ENSG00000095209","TMEM38B","transmembrane protein 38B"
"chr9",111399720,111400456,737,"*","Distal Intergenic",9,111616869,111618275,1407,2,"10880","uc004bdi.3",217819,"ENSG00000148156","ACTL7B","actin like 7B"
"chr9",113205572,113206908,1337,"*","3' UTR",9,113127529,113191614,64086,2,"79987","uc010mty.3",-13958,"ENSG00000165124","SVEP1","sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"
"chr9",128892028,128892989,962,"*","Distal Intergenic",9,129089123,129159912,70790,1,"89853","uc004bqg.2",-196134,"ENSG00000196814","MVB12B","multivesicular body subunit 12B"
"chr9",129391025,129391526,502,"*","Intron (uc004bqi.3/4010, intron 2 of 7)",9,129376722,129463311,86590,1,"4010","uc011maa.2",14303,"ENSG00000136944","LMX1B","LIM homeobox transcription factor 1 beta"
"chr9",129438447,129438987,541,"*","Intron (uc004bqi.3/4010, intron 2 of 7)",9,129376722,129463311,86590,1,"4010","uc011maa.2",61725,"ENSG00000136944","LMX1B","LIM homeobox transcription factor 1 beta"
"chr9",130242975,130243707,733,"*","Promoter (1-2kb)",9,130241662,130265780,24119,1,"90678","uc004bre.2",1313,"ENSG00000148356","LRSAM1","leucine rich repeat and sterile alpha motif containing 1"
"chr9",131053025,131053639,615,"*","Distal Intergenic",9,131038425,131051268,12844,1,"375757","uc004bup.3",14600,"ENSG00000175854","SWI5","SWI5 homologous recombination repair protein"
"chr9",131405168,131405774,607,"*","Promoter (1-2kb)",9,131398128,131403218,5091,2,"89891","uc011mbi.2",-1950,"ENSG00000119333","DYNC2I2","dynein 2 intermediate chain 2"
"chr9",131613396,131614366,971,"*","Intron (uc004bwg.3/883, intron 1 of 12)",9,131595392,131622811,27420,2,"883","uc004bwg.3",8445,"ENSG00000171097","KYAT1","kynurenine aminotransferase 1"
"chr9",135776787,135777465,679,"*","Exon (uc004cca.2/7248, exon 19 of 23)",9,135754290,135765421,11132,1,"11092","uc004cbz.1",22497,"ENSG00000165698","SPACA9","sperm acrosome associated 9"
"chr9",136560518,136561053,536,"*","Intron (uc004cen.3/1757, intron 2 of 8)",9,136528684,136568823,40140,2,"1757","uc004cen.3",7770,"ENSG00000123453","SARDH","sarcosine dehydrogenase"
"chr10",6211428,6212120,693,"*","Intron (uc001ijd.3/5209, intron 1 of 14)",10,6194171,6194225,55,2,"100628560","uc021pmr.1",-17203,"ENSG00000283634","MIR3155B","microRNA 3155b"
"chr10",7251948,7252601,654,"*","Intron (uc009xio.2/57713, intron 11 of 20)",10,7200586,7451303,250718,2,"57713","uc009xio.2",198702,"ENSG00000198879","SFMBT2","Scm like with four mbt domains 2"
"chr10",10499714,10500361,648,"*","Distal Intergenic",10,10826402,10836877,10476,2,"207107","uc001ikf.1",336516,"ENSG00000225383","SFTA1P","surfactant associated 1, lncRNA"
"chr10",13873070,13873739,670,"*","Intron (uc001ims.3/55691, intron 3 of 24)",10,13708097,14014369,306273,2,"55691","uc001imt.1",140630,"ENSG00000151474","FRMD4A","FERM domain containing 4A"
"chr10",30817774,30818677,904,"*","Distal Intergenic",10,30727751,30750762,23012,1,"1326","uc001ivj.2",90023,"ENSG00000107968","MAP3K8","mitogen-activated protein kinase kinase kinase 8"
"chr10",30857557,30858326,770,"*","Distal Intergenic",10,30900708,30918647,17940,2,"119180","uc001ivk.3",60321,"ENSG00000151033","LYZL2","lysozyme like 2"
"chr10",38527286,38527975,690,"*","Distal Intergenic",10,38464599,38503273,38675,1,"100129055","uc001izn.3",62687,NA,"CCNYL4","cyclin Y like 4 (pseudogene)"
"chr10",43126621,43127504,884,"*","5' UTR",10,43077042,43133992,56951,2,"7582","uc001jae.1",6488,"ENSG00000196693","ZNF33B","zinc finger protein 33B"
"chr10",43160057,43161144,1088,"*","Distal Intergenic",10,43084555,43133992,49438,2,"7582","uc001jag.1",-26065,"ENSG00000196693","ZNF33B","zinc finger protein 33B"
"chr10",45224240,45225026,787,"*","Distal Intergenic",10,45406764,45430642,23879,1,"643236","uc001jbn.2",-181738,"ENSG00000187783","TMEM72","transmembrane protein 72"
"chr10",47724023,47724745,723,"*","Distal Intergenic",10,47746920,47753182,6263,1,"244","uc009xnh.1",-22175,NA,NA,NA
"chr10",48480344,48481178,835,"*","Distal Intergenic",10,48428084,48439138,11055,2,"2662","uc009xnq.2",-41206,"ENSG00000266524","GDF10","growth differentiation factor 10"
"chr10",49240741,49241911,1171,"*","Promoter (1-2kb)",10,49218159,49239658,21500,2,"399753","uc001jgd.3",-1083,NA,NA,NA
"chr10",50143394,50144030,637,"*","Intron (uc001jha.4/57705, intron 47 of 61)",10,50148013,50183641,35629,1,"57705","uc009xob.3",-3983,"ENSG00000128815","WDFY4","WDFY family member 4"
"chr10",50654326,50655047,722,"*","Distal Intergenic",10,50662526,50684356,21831,2,"2074","uc009xod.4",29309,"ENSG00000225830","ERCC6","ERCC excision repair 6, chromatin remodeling factor"
"chr10",54469549,54470812,1264,"*","Distal Intergenic",10,54525140,54531460,6321,2,"4153","uc001jjt.3",60648,"ENSG00000165471","MBL2","mannose binding lectin 2"
"chr10",59653858,59654507,650,"*","Distal Intergenic",10,59951278,60027694,76417,2,"253430","uc001jkb.3",373187,"ENSG00000151151","IPMK","inositol polyphosphate multikinase"
"chr10",61385081,61385755,675,"*","Distal Intergenic",10,61410522,61469649,59128,2,"220963","uc010qig.1",83894,"ENSG00000165449","SLC16A9","solute carrier family 16 member 9"
"chr10",61465626,61466517,892,"*","Intron (uc010qig.1/220963, intron 1 of 5)",10,61410522,61469649,59128,2,"220963","uc010qig.1",3132,"ENSG00000165449","SLC16A9","solute carrier family 16 member 9"
"chr10",62742399,62743333,935,"*","Intron (uc001jlj.3/9886, intron 2 of 11)",10,62629198,62760736,131539,2,"9886","uc001jlj.3",17403,"ENSG00000072422","RHOBTB1","Rho related BTB domain containing 1"
"chr10",63700833,63701334,502,"*","Intron (uc010qil.2/84159, intron 3 of 4)",10,63736061,63736088,28,1,"100847083","uc021prj.2",-34727,"ENSG00000263750","MIR548AV","microRNA 548av"
"chr10",69095927,69096482,556,"*","Intron (uc009xpn.1/29119, intron 5 of 17)",10,67679725,69425416,1745692,2,"29119","uc009xpn.1",328934,"ENSG00000183230","CTNNA3","catenin alpha 3"
"chr10",70690601,70691102,502,"*","Intron (uc001jou.3/79009, intron 8 of 14)",10,70715879,70744825,28947,1,"9188","uc001jov.2",-24777,"ENSG00000165732","DDX21","DExD-box helicase 21"
"chr10",71729091,71729763,673,"*","Distal Intergenic",10,71812357,71872040,59684,1,"55506","uc001jqm.3",-82594,"ENSG00000099284","MACROH2A2","macroH2A.2 histone"
"chr10",71822237,71822738,502,"*","Intron (uc001jqm.3/55506, intron 1 of 8)",10,71812357,71872040,59684,1,"55506","uc001jqm.3",9880,"ENSG00000099284","MACROH2A2","macroH2A.2 histone"
"chr10",72552729,72553459,731,"*","Distal Intergenic",10,72530995,72545157,14163,2,"219793","uc010qjn.1",-7572,"ENSG00000166220","TBATA","thymus, brain and testes associated"
"chr10",72941532,72942232,701,"*","Distal Intergenic",10,72972292,73062635,90344,1,"219699","uc001jro.3",-30060,"ENSG00000107731","UNC5B","unc-5 netrin receptor B"
"chr10",79417326,79417827,502,"*","Distal Intergenic",10,79395961,79397577,1617,2,"3778","uc031pvz.1",-19749,"ENSG00000156113","KCNMA1","potassium calcium-activated channel subfamily M alpha 1"
"chr10",96756091,96756691,601,"*","Distal Intergenic",10,96698415,96749148,50734,1,"1559","uc009xut.3",57676,"ENSG00000138109","CYP2C9","cytochrome P450 family 2 subfamily C member 9"
"chr10",97414641,97415267,627,"*","Promoter (1-2kb)",10,97365686,97416567,50882,2,"5832","uc001kky.3",1300,"ENSG00000059573","ALDH18A1","aldehyde dehydrogenase 18 family member A1"
"chr10",103458065,103459866,1802,"*","Distal Intergenic",10,103370421,103454743,84323,2,"6468","uc001kto.3",-3322,"ENSG00000107829","FBXW4","F-box and WD repeat domain containing 4"
"chr10",104600781,104601688,908,"*","Distal Intergenic",10,104590288,104597290,7003,2,"1586","uc001kwg.3",-3491,"ENSG00000148795","CYP17A1","cytochrome P450 family 17 subfamily A member 1"
"chr10",107732044,107732545,502,"*","Distal Intergenic",10,106937525,107012664,75140,1,"22986","uc010qqz.1",794519,"ENSG00000156395","SORCS3","sortilin related VPS10 domain containing receptor 3"
"chr10",112844640,112845352,713,"*","Distal Intergenic",10,112836790,112840662,3873,1,"150","uc001kzo.3",7850,"ENSG00000150594","ADRA2A","adrenoceptor alpha 2A"
"chr10",115164087,115164819,733,"*","Distal Intergenic",10,115310590,115349360,38771,1,"3026","uc021pyr.1",-145771,"ENSG00000148702","HABP2","hyaluronan binding protein 2"
"chr10",118720869,118721562,694,"*","Intron (uc021pzk.1/57698, intron 3 of 18)",10,118642888,118733681,90794,2,"57698","uc001lcy.5",12119,"ENSG00000187164","SHTN1","shootin 1"
"chr10",124285380,124286242,863,"*","Distal Intergenic",10,124320181,124403252,83072,1,"1755","uc001lgk.1",-33939,"ENSG00000187908","DMBT1","deleted in malignant brain tumors 1"
"chr10",127533878,127534979,1102,"*","Intron (uc001ljd.4/56647, intron 7 of 7)",10,127524909,127543428,18520,2,"55760","uc001lje.1",8449,"ENSG00000089876","DHX32","DEAH-box helicase 32 (putative)"
"chr10",132422723,132423440,718,"*","Distal Intergenic",10,132760851,132760931,81,2,"100422867","uc021qaz.1",337491,"ENSG00000264803","MIR378C","microRNA 378c"
"chr10",132507006,132508040,1035,"*","Distal Intergenic",10,132760851,132760931,81,2,"100422867","uc021qaz.1",252891,"ENSG00000264803","MIR378C","microRNA 378c"
"chr11",965049,965970,922,"*","Intron (uc009yco.2/161, intron 2 of 15)",11,972062,982781,10720,1,"161","uc001lsu.1",-6092,"ENSG00000183020","AP2A2","adaptor related protein complex 2 subunit alpha 2"
"chr11",2216981,2217989,1009,"*","Distal Intergenic",11,2194293,2194368,76,1,"100616126","uc021qce.1",22688,"ENSG00000265258","MIR4686","microRNA 4686"
"chr11",3099057,3099744,688,"*","Distal Intergenic",11,3108346,3116109,7764,2,"114879","uc001lxj.2",16365,"ENSG00000021762","OSBPL5","oxysterol binding protein like 5"
"chr11",3135401,3136250,850,"*","Intron (uc010qxq.1/114879, intron 5 of 19)",11,3108346,3147838,39493,2,"114879","uc010qxq.1",11588,"ENSG00000021762","OSBPL5","oxysterol binding protein like 5"
"chr11",8209040,8209683,644,"*","Distal Intergenic",11,8161208,8190590,29383,2,"79608","uc001mgf.4",-18450,"ENSG00000166405","RIC3","RIC3 acetylcholine receptor chaperone"
"chr11",10476711,10477844,1134,"*","Promoter (<=1kb)",11,10476887,10529126,52240,1,"272","uc009yfz.2",0,"ENSG00000133805","AMPD3","adenosine monophosphate deaminase 3"
"chr11",10592140,10592868,729,"*","Promoter (1-2kb)",11,10579413,10590365,10953,2,"10894","uc010rca.1",-1775,"ENSG00000133800","LYVE1","lymphatic vessel endothelial hyaluronan receptor 1"
"chr11",10612067,10613029,963,"*","Intron (uc001miu.4/100129827, intron 1 of 2)",11,10579413,10590365,10953,2,"10894","uc010rca.1",-21702,"ENSG00000133800","LYVE1","lymphatic vessel endothelial hyaluronan receptor 1"
"chr11",14611763,14612552,790,"*","Intron (uc001mll.3/5682, intron 2 of 10)",11,14526422,14665180,138759,2,"5682","uc001mll.3",52628,"ENSG00000129084","PSMA1","proteasome 20S subunit alpha 1"
"chr11",15969189,15969873,685,"*","Distal Intergenic",11,15987995,16424413,436419,2,"55553","uc001mmd.3",454540,"ENSG00000110693","SOX6","SRY-box transcription factor 6"
"chr11",21896939,21897775,837,"*","Distal Intergenic",11,22214722,22304913,90192,1,"203859","uc001mqi.2",-316947,"ENSG00000171714","ANO5","anoctamin 5"
"chr11",21912122,21912954,833,"*","Distal Intergenic",11,22214722,22304913,90192,1,"203859","uc001mqi.2",-301768,"ENSG00000171714","ANO5","anoctamin 5"
"chr11",22182044,22183049,1006,"*","Distal Intergenic",11,22214722,22304913,90192,1,"203859","uc001mqi.2",-31673,"ENSG00000171714","ANO5","anoctamin 5"
"chr11",26063474,26064436,963,"*","Distal Intergenic",11,26210829,26684836,474008,1,"63982","uc010rdr.2",-146393,"ENSG00000134343","ANO3","anoctamin 3"
"chr11",34158514,34159028,515,"*","Exon (uc001mvk.3/55226, exon 21 of 29)",11,34127111,34168458,41348,1,"55226","uc010ren.2",31403,"ENSG00000135372","NAT10","N-acetyltransferase 10"
"chr11",34226062,34226748,687,"*","Exon (uc001mvl.2/25841, exon 2 of 17)",11,34127111,34168458,41348,1,"55226","uc010ren.2",98951,"ENSG00000135372","NAT10","N-acetyltransferase 10"
"chr11",35029760,35031268,1509,"*","Distal Intergenic",11,34963384,34963467,84,1,"100616437","uc021qfv.1",66376,"ENSG00000251862","MIR1343","microRNA 1343"
"chr11",37906155,37906886,732,"*","Distal Intergenic",11,36613493,36619829,6337,2,"5897","uc021qgd.1",-1286326,"ENSG00000175097","RAG2","recombination activating 2"
"chr11",59814054,59814555,502,"*","3' UTR",11,59807748,59815516,7769,1,"219990","uc001nol.3",6306,"ENSG00000149507","OOSP2","oocyte secreted protein 2"
"chr11",60182344,60184594,2251,"*","5' UTR",11,60197062,60215265,18204,1,"64232","uc001npo.3",-12468,"ENSG00000166930","MS4A5","membrane spanning 4-domains A5"
"chr11",60188386,60189051,666,"*","Distal Intergenic",11,60197062,60215265,18204,1,"64232","uc001npo.3",-8011,"ENSG00000166930","MS4A5","membrane spanning 4-domains A5"
"chr11",61702568,61703414,847,"*","Distal Intergenic",11,61717356,61726386,9031,1,"7439","uc001nsq.3",-13942,"ENSG00000167995","BEST1","bestrophin 1"
"chr11",61897451,61898183,733,"*","Exon (uc009ynv.3/3619, exon 4 of 5)",11,61891445,61920635,29191,1,"3619","uc001nsx.1",6006,"ENSG00000149503","INCENP","inner centromere protein"
"chr11",62136534,62137200,667,"*","Intron (uc001nte.4/80150, intron 4 of 6)",11,62124459,62150719,26261,1,"80150","uc001nth.1",12075,"ENSG00000162174","ASRGL1","asparaginase and isoaspartyl peptidase 1"
"chr11",62637748,62638406,659,"*","Exon (uc001nwd.3/6520, exon 2 of 12)",11,62648344,62656355,8012,1,"6520","uc001nwg.3",-9938,"ENSG00000168003","SLC3A2","solute carrier family 3 member 2"
"chr11",63950851,63951537,687,"*","Promoter (2-3kb)",11,63953587,63963348,9762,1,"10963","uc001nyj.3",-2050,"ENSG00000168439","STIP1","stress induced phosphoprotein 1"
"chr11",65069162,65069822,661,"*","Distal Intergenic",11,65082289,65089900,7612,1,"10435","uc001odl.3",-12467,"ENSG00000149798","CDC42EP2","CDC42 effector protein 2"
"chr11",65366120,65366802,683,"*","Promoter (2-3kb)",11,65360326,65363467,3142,2,"10089","uc001oeu.3",-2653,"ENSG00000173338","KCNK7","potassium two pore domain channel subfamily K member 7"
"chr11",66418582,66419132,551,"*","Intron (uc010rpj.2/5936, intron 2 of 2)",11,66406406,66413944,7539,1,"5936","uc001oiz.2",12176,"ENSG00000173933","RBM4","RNA binding motif protein 4"
"chr11",68331247,68331899,653,"*","5' UTR",11,68326034,68382801,56768,1,"55291","uc010rqd.2",5213,"ENSG00000110075","PPP6R3","protein phosphatase 6 regulatory subunit 3"
"chr11",68546376,68547085,710,"*","Intron (uc001oof.4/1374, intron 12 of 18)",11,68503600,68518988,15389,2,"9633","uc009ysi.1",-27388,"ENSG00000132749","TESMIN","testis expressed metallothionein like protein"
"chr11",73414928,73415728,801,"*","Intron (uc021qnd.1/5870, intron 6 of 7)",11,73363485,73373864,10380,1,"58473","uc031qco.1",51443,"ENSG00000021300","PLEKHB1","pleckstrin homology domain containing B1"
"chr11",74001588,74002184,597,"*","Intron (uc001ouy.4/283208, intron 4 of 15)",11,73958546,74022699,64154,2,"283208","uc001ouy.4",20515,"ENSG00000149380","P4HA3","prolyl 4-hydroxylase subunit alpha 3"
"chr11",75777242,75777992,751,"*","Intron (uc001oxc.3/7405, intron 13 of 14)",11,75826944,75855282,28339,1,"7405","uc010rry.2",-48952,"ENSG00000198382","UVRAG","UV radiation resistance associated"
"chr11",75822347,75823604,1258,"*","Intron (uc001oxc.3/7405, intron 13 of 14)",11,75826944,75855282,28339,1,"7405","uc010rry.2",-3340,"ENSG00000198382","UVRAG","UV radiation resistance associated"
"chr11",77381652,77382235,584,"*","Intron (uc001oym.3/51773, intron 10 of 10)",11,77377274,77414578,37305,2,"51773","uc001oym.3",32343,"ENSG00000048649","RSF1","remodeling and spacing factor 1"
"chr11",77455581,77456207,627,"*","Intron (uc001oyn.3/51773, intron 3 of 15)",11,77377274,77414578,37305,2,"51773","uc001oym.3",-41003,"ENSG00000048649","RSF1","remodeling and spacing factor 1"
"chr11",78448472,78449125,654,"*","Intron (uc001ozl.4/26011, intron 20 of 33)",11,78364328,78387450,23123,2,"26011","uc001ozk.4",-61022,"ENSG00000149256","TENM4","teneurin transmembrane protein 4"
"chr11",85028382,85029107,726,"*","Intron (uc001pak.2/1740, intron 3 of 27)",11,83166056,85338314,2172259,2,"1740","uc001pak.2",309207,"ENSG00000150672","DLG2","discs large MAGUK scaffold protein 2"
"chr11",86571497,86572005,509,"*","Promoter (2-3kb)",11,86567973,86568996,1024,2,"8587","uc021qol.2",-2501,"ENSG00000255203","OR7E2P","olfactory receptor family 7 subfamily E member 2 pseudogene"
"chr11",88355881,88356382,502,"*","Intron (uc001pcq.3/2915, intron 3 of 8)",11,88237744,88257222,19479,1,"100873989","uc031qdb.1",118137,"ENSG00000255082","GRM5-AS1","GRM5 antisense RNA 1"
"chr11",90349487,90350233,747,"*","Intron (uc021qoq.1/uc021qoq.1, intron 2 of 6)",11,90288942,90289025,84,2,"100616186","uc021qor.1",-60462,"ENSG00000266703","MIR4490","microRNA 4490"
"chr11",93407717,93408300,584,"*","Intron (uc009ywb.1/85459, intron 5 of 29)",11,93394816,93463522,68707,1,"85459","uc009ywb.1",12901,"ENSG00000166004","CEP295","centrosomal protein 295"
"chr11",94237345,94238981,1637,"*","Distal Intergenic",11,94245695,94265289,19595,1,"643037","uc021qov.1",-6714,"ENSG00000257057","C11orf97","chromosome 11 open reading frame 97"
"chr11",102716374,102717007,634,"*","Promoter (2-3kb)",11,102706528,102714342,7815,2,"4314","uc001phj.1",-2032,"ENSG00000149968","MMP3","matrix metallopeptidase 3"
"chr11",103711279,103711979,701,"*","Distal Intergenic",11,103720634,103720708,75,1,"100616457","uc021qpj.1",-8655,"ENSG00000264200","MIR4693","microRNA 4693"
"chr11",105180947,105182242,1296,"*","Distal Intergenic",11,105008448,105010461,2014,2,"59082","uc021qpy.1",-170486,"ENSG00000255501","CARD18","caspase recruitment domain family member 18"
"chr11",112620480,112621618,1139,"*","Distal Intergenic",11,112831969,113092626,260658,1,"4684","uc001pno.3",-210351,"ENSG00000149294","NCAM1","neural cell adhesion molecule 1"
"chr11",115872165,115873008,844,"*","Distal Intergenic",11,115628169,115631345,3177,2,"283143","uc009yzb.3",-240820,NA,"LINC00900","long intergenic non-protein coding RNA 900"
"chr11",116981184,116982016,833,"*","Distal Intergenic",11,116714118,116968993,254876,2,"23387","uc001pqa.3",-12191,"ENSG00000160584","SIK3","SIK family kinase 3"
"chr11",121059434,121060099,666,"*","Exon (uc010rzo.2/7007, exon 21 of 23)",11,120973375,121061515,88141,1,"7007","uc010rzo.2",86059,"ENSG00000109927","TECTA","tectorin alpha"
"chr11",123381484,123382244,761,"*","Distal Intergenic",11,123396528,123493518,96991,1,"57476","uc001pyw.2",-14284,"ENSG00000023171","GRAMD1B","GRAM domain containing 1B"
"chr11",123547034,123547736,703,"*","Distal Intergenic",11,123499895,123525315,25421,2,"55800","uc001pzb.1",-21719,"ENSG00000166257","SCN3B","sodium voltage-gated channel beta subunit 3"
"chr11",125350491,125350992,502,"*","Intron (uc001qbx.3/9638, intron 3 of 9)",11,125315641,125366206,50566,2,"9638","uc001qbx.3",15214,"ENSG00000149557","FEZ1","fasciculation and elongation protein zeta 1"
"chr11",130616450,130617500,1051,"*","Distal Intergenic",11,130542851,130587247,44397,1,"283171","uc031qfg.1",73599,"ENSG00000175728","LINC02873","long intergenic non-protein coding RNA 2873"
"chr11",132064964,132065703,740,"*","Intron (uc001qgm.3/50863, intron 3 of 7)",11,131780712,132206716,426005,1,"50863","uc001qgq.3",284252,"ENSG00000182667","NTM","neurotrimin"
"chr11",133204076,133204694,619,"*","Intron (uc001qgu.3/4978, intron 1 of 7)",11,132284875,133402403,1117529,2,"4978","uc001qgu.3",197709,"ENSG00000183715","OPCML","opioid binding protein/cell adhesion molecule like"
"chr11",134583240,134583932,693,"*","Distal Intergenic",11,134306376,134375555,69180,1,"283177","uc001qhs.3",276864,"ENSG00000255545","B3GAT1-DT","B3GAT1 divergent transcript"
"chr12",650842,651493,652,"*","Promoter (<=1kb)",12,652299,664596,12298,1,"283358","uc001qij.1",-806,"ENSG00000139044","B4GALNT3","beta-1,4-N-acetyl-galactosaminyltransferase 3"
"chr12",2303074,2303674,601,"*","Intron (uc001qjz.2/775, intron 3 of 46)",12,2329703,2332647,2945,2,"100874234","uc031qfm.1",28973,"ENSG00000256025","CACNA1C-AS4","CACNA1C antisense RNA 4"
"chr12",6159577,6160512,936,"*","Intron (uc001qnn.1/7450, intron 16 of 51)",12,6058040,6233836,175797,2,"7450","uc001qnn.1",73324,"ENSG00000110799","VWF","von Willebrand factor"
"chr12",6180188,6180748,561,"*","Exon (uc001qnn.1/7450, exon 10 of 52)",12,6058040,6233836,175797,2,"7450","uc001qnn.1",53088,"ENSG00000110799","VWF","von Willebrand factor"
